Company,Website,Phone,Address,Email,Team Page,Person 1,Job 1,Person 2,Job 2,Person 3,Job 3
Axiom,"=HYPERLINK(""http://www.axiomlaw.com"")",917-237-2900,"=HYPERLINK(""https://www.google.com/maps/preview/place/'295 Lafayette Street, Suite 700  New York'"")",info-ny@axiomlaw.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+axiom"")",Jason Moore,"Service Control Manager, Managed Services",Joel Greengrass,Chief People Officer,Chris Klingebiel,Director
Admittedly,"=HYPERLINK(""http://admitted.ly"")",(347) 948-8814,"=HYPERLINK(""https://www.google.com/maps/preview/place/'214 W 29th St 5th Floor New York'"")",info@admitted.ly,"=HYPERLINK(""https://www.google.com/search?q='management+team'+admitted-ly"")",Jessica Brondo,Founder & CEO,Emily Cole,Co-founder & CPO,Seth Samuel,Lead Developer
Chipp'd,"=HYPERLINK(""http://chippd.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'175 Varick Street  New York'"")",hello@chippd.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+chippd"")",Omar Farha,Founder, ,"", ,""
Tradembark,"=HYPERLINK(""http://www.tradembark.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'175 Varick St. 4th Floor c/o WeWork Labs New York'"")",info@tradembark.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+tradembark"")",Jesse Podell,Founder, ,"", ,""
Kinetic Social,"=HYPERLINK(""http://www.kineticsocial.com"")",(646) 561-0380,"=HYPERLINK(""https://www.google.com/maps/preview/place/'134 West 37th Street 7th Floor New York'"")",pr@kineticsocial.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+kinetic-social"")",Don Mathis,CEO & Co-Founder,Charlie Nowaczek,Chief Operating Officer,Rocky Appiah,Chief Technology Officer
Uniite,"=HYPERLINK(""http://www.uniite.us"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'500 7th Avenue. #17TH New York'"")",info@uniite.us,"=HYPERLINK(""https://www.google.com/search?q='management+team'+uniite"")",Salim Mhunzi,Founder/ CEO, ,"", ,""
Kepler Group,"=HYPERLINK("""")",,"=HYPERLINK(""https://www.google.com/maps/preview/place/'6 E 32nd St 6th Floor New York'"")",,"=HYPERLINK(""https://www.google.com/search?q='management+team'+kepler-group"")",Rick Greenberg,CEO,Matthew Lowenbraun,Vice President,Andrew Toledano,Vice President
LOOKSIMA,"=HYPERLINK(""http://www.looksima.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",info@looksima.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+looksima"")",Alex Bochkarev,"CEO, Founder", ,"", ,""
Jump2Spot,"=HYPERLINK(""http://jump2spot.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'32 Jones Street  New York'"")",chungwong123@gmail.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+jump2spot"")",Chung Wong,Founder,Andrew Burke,Founder, ,""
Fantasy Buzzer,"=HYPERLINK(""http://www.fantasybuzzer.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'147 W 35 st Suite 1204 New York'"")",pritesh@fantasybuzzer.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+fantasy-buzzer"")",Pritesh Damani,CEO,Simon Pettibone,CTO,John Adams,Director of Media Services
Flavitt,"=HYPERLINK(""http://www.flavitt.com"")",212-FLAVITT,"=HYPERLINK(""https://www.google.com/maps/preview/place/'710 Riverside Dr.  New York'"")",social@flavitt.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+flavitt"")", ,"", ,"", ,""
UnityWebGroup,"=HYPERLINK(""http://www.unitywebgroup.com"")",(347) 875-0163,"=HYPERLINK(""https://www.google.com/maps/preview/place/'Brooklyn  New York'"")",sales@unitywebgroup.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+unitywebgroup"")", ,"", ,"", ,""
bustripping,"=HYPERLINK("""")",,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",,"=HYPERLINK(""https://www.google.com/search?q='management+team'+bustripping"")",Ben Silverstein,CEO,Jeff Mangano,CFO / President West Coast Operations, ,""
Busby,"=HYPERLINK(""http://www.busby.io"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+busby"")", ,"", ,"", ,""
DerbyJackpot,"=HYPERLINK(""http://www.derbyjackpot.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'902 Broadway, 4th fl  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+derbyjackpot"")",Billy Hessert,Co-founder & Advisor,Tom Hessert,Co-founder & CEO,Walter Hessert,Co-founder & Chief Product Officer
MediaShift,"=HYPERLINK(""http://MediaShift.com"")",(888) 996-7887,"=HYPERLINK(""https://www.google.com/maps/preview/place/'989 Avenue of the Americas, 11th Floor  New York'"")",contact@mediashift.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+mediashift"")",Brendon Kensel,President, ,"", ,""
Infinio,"=HYPERLINK(""http://infinio.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'9 West 57th St. Suite 1510 New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+infinio"")",Vishal Misra,Founder & CTO,Arun Agarwal,"Co-founder, CEO",Carrie Reber,"VP, Marketing"
Voter's Friend,"=HYPERLINK(""http://www.votersfriend.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+voters-friend"")",Dylan Beynon,Co-founder / Head of Product and Marketing,Daniel McLean,"Founder | CEO, Tech Lead", ,""
Oraiko Corp,"=HYPERLINK(""http://www.oraiko.com"")",212-483-1000,"=HYPERLINK(""https://www.google.com/maps/preview/place/'11 Broadway Suite 1051 New York'"")",Oraiko.Oraiko1@gmail.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+oraiko-corp"")", ,"", ,"", ,""
I Love Velvet,"=HYPERLINK(""http://www.ilovevelvet.com"")",1 (646) 845.0292,"=HYPERLINK(""https://www.google.com/maps/preview/place/'110 Greene Street Suite 305 New York'"")",y.acosta@ilovevelvet.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+i-love-velvet-inc"")",Laurent Michel-Etienne,CTO,Patrick Bouaziz,CVO,Pascal Juan,COO
Deepend,"=HYPERLINK(""http://www.deepend.com.au"")",0289177900,"=HYPERLINK(""https://www.google.com/maps/preview/place/'3rd Floor/ 195 Bowery  New York'"")",media@deepend.com.au,"=HYPERLINK(""https://www.google.com/search?q='management+team'+deepend"")",Matt Griffin,Chief Executive,Kath Blackham,Managing Director,Chris Crammond,Managing Partner
UltraLinq Healthcare Solutions,"=HYPERLINK(""http://www.UltraLinq.com"")",800-227-2956,"=HYPERLINK(""https://www.google.com/maps/preview/place/'236 West 30th Street 6th Floor New York'"")",info@UltraLinq.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+ultralinq-healthcare-solutions"")",Stephen Farber,CEO,"Ross Hoffman, MD",Chief Medical Officer,Jasmine Gardiner,VP Marketing
Persado,"=HYPERLINK(""http://persado.com"")",(646) 820-0122,"=HYPERLINK(""https://www.google.com/maps/preview/place/'50 West 17th Street Floor 11 New York'"")",info@persado.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+persado"")",Alex Vratskides,CEO & Founder,Matt Novick,CFO,Guy Krief,SVP of Product & Innovation
ToYourMarks,"=HYPERLINK(""http://www.toyourmarks.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",jim@toyourmarks.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+toyourmarks"")", ,"", ,"", ,""
The Expert Institute,"=HYPERLINK(""http://theexpertinstitute.com"")",(888) 858-9511,"=HYPERLINK(""https://www.google.com/maps/preview/place/'75 Maiden Lane Suite 408 New York'"")",info@theexpertinstitute.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+the-expert-institute"")", ,"", ,"", ,""
Trueffect,"=HYPERLINK(""http://www.trueffect.com"")",877.878.2383,"=HYPERLINK(""https://www.google.com/maps/preview/place/'21 West 46th St Suite 502 New York'"")",contact@trueffect.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+trueffect"")",Ron Hill,Founder and Chairman,Finnegan Faldi,CEO and President,Liz Gasper,Chief Financial Officer
Acquaintable,"=HYPERLINK(""http://acquaintable.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+acquaintable"")",Joel J Rodriguez,Co-founder & CEO,Peter Boling,Co-founder & CTO, ,""
IBT Media,"=HYPERLINK(""http://corp.ibt.com"")",6468677100,"=HYPERLINK(""https://www.google.com/maps/preview/place/'7 Hanover Sq, Fl 5  New York'"")",info@ibtimes.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+ibt-media-inc"")",Etienne Uzac,"Co-Founder, CEO",Johnathan Davis,"Co-Founder, Chief Content Officer",Jeff Rothfeder,Editor-in-Chief
Consignd,"=HYPERLINK(""http://www.consignd.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",founders@consignd.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+consignd"")",Giles Holt,Co-Founder,Neil Parikh,Co-Founder,T. Luke Sherwin,Co-Founder
Consignd,"=HYPERLINK(""http://www.consignd.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",founders@consignd.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+consignd"")",Giles Holt,Co-Founder,Neil Parikh,Co-Founder,T. Luke Sherwin,Co-Founder
Monaeo,"=HYPERLINK(""http://monaeo.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'110 Fifth Avenue Fourth Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+monaeo"")",Anupam Singhal,Founder,Nishant Mittal,Founder,Edward Zick,Sales Lead
Cognical,"=HYPERLINK(""http://www.cognical.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+cognical"")", ,"", ,"", ,""
Trendalytics,"=HYPERLINK(""http://www.trendalytics.co"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+trendalytics"")", ,"", ,"", ,""
Thinkful,"=HYPERLINK(""http://www.thinkful.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'902 Broadway, 6th Floor  New York'"")",hello@thinkful.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+thinkful"")",Darrell Silver,CEO and Co-Founder,Daniel Friedman,President and Co-Founder,Ben White,Education Engineer
Cardinform,"=HYPERLINK(""http://www.cardinform.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",hello@cardinform.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+cardinform"")", ,"", ,"", ,""
Startist,"=HYPERLINK(""http://www.startists.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+startist"")", ,"", ,"", ,""
Corporize,"=HYPERLINK(""http://corporize.com"")",212-390-8782,"=HYPERLINK(""https://www.google.com/maps/preview/place/'511 6th Avenue  New York'"")",info@corporize.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+corporize-com"")", ,"", ,"", ,""
Alacra,"=HYPERLINK(""http://www.alacra.com"")",212.363.9620,"=HYPERLINK(""https://www.google.com/maps/preview/place/'100 Broadway Ste 1101 New York'"")",info@alacra.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+alacra"")",Steven Goldstein,CEO,Michael Angle,"President, COO", ,""
Vaunte,"=HYPERLINK(""http://www.vaunte.com"")",2122066942,"=HYPERLINK(""https://www.google.com/maps/preview/place/'153 W 27th St Suite 203  New York'"")",contact@vaunte.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+vaunte"")",Leah Park,CEO and Co-Founder,Andy Shin,Co-Founder, ,""
Sumpto,"=HYPERLINK(""http://www.sumpto.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'568 Broadway  New York'"")",ben@sumpto.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+sumpto"")",Ben Kosinski,Founder, ,"", ,""
WebWalk,"=HYPERLINK(""http://www.webwalk.com"")",3129488990,"=HYPERLINK(""https://www.google.com/maps/preview/place/'419 N Lafayette  New York'"")",info@webwalk.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+webwalk"")",Raphael Bennett,Founder,Gene Ellis,Co-founder, ,""
Bitwords Media,"=HYPERLINK(""http://www.bitwords.com"")",800 223 1891,"=HYPERLINK(""https://www.google.com/maps/preview/place/'896 Bay Ridge Avenue  New York'"")",info@bitwords.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+bitwords-media"")",Farooq Khan,"", ,"", ,""
CampusNorth,"=HYPERLINK(""http://www.campusnorth.com"")",1 (877) 434-2994,"=HYPERLINK(""https://www.google.com/maps/preview/place/'112 W.34th Street  New York'"")",info@campusnorth.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+campusnorth"")",Matthew Birks,CEO,"Ashely Carlson, PhD.","Director, Curriculum", ,""
Elle Communications,"=HYPERLINK(""http://www.ellecomm.com"")",855.438.3553,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1412 Broadway, 22nd Floor  New York'"")",info@ellecomm.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+elle-communications"")", ,"", ,"", ,""
Koa.la,"=HYPERLINK(""http://koa.la"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+koa-la"")",Adam Ludwin,Co-Founder, ,"", ,""
Automated Shading,"=HYPERLINK(""http://www.automatedshading.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'115 East 57 St, Suite 1430  New York'"")",info@automatedshading.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+automated-shading"")", ,"", ,"", ,""
Science Source Images,"=HYPERLINK(""http://www.ScienceSource.com"")",212-758-3420,"=HYPERLINK(""https://www.google.com/maps/preview/place/'307 Fifth Avenue 3rd Floor New York'"")",Info@sciencesource.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+science-source-images"")",Robert Zentmaier,President, ,"", ,""
Kangu.org,"=HYPERLINK(""http://www.kangu.org"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",info@kangu.org,"=HYPERLINK(""https://www.google.com/search?q='management+team'+kangu-org"")",Casey Santiago,CEO / Founder, ,"", ,""
AskaTicket,"=HYPERLINK(""http://www.askaticket.com"")",+1 718 732 0188,"=HYPERLINK(""https://www.google.com/maps/preview/place/'56 W 65th Street  New York'"")",info@askaticket.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+askaticket"")",Jennifer Eve,Director Marketing,Waheed Chuahdary,E Marketing Expert, ,""
eventblimp,"=HYPERLINK(""http://www.eventblimp.com"")",(252) 714-2092,"=HYPERLINK(""https://www.google.com/maps/preview/place/'52 Spring St., Apt. 3R  New York'"")",info@eventblimp.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+eventblimp"")",Chris Good,Founder and CEO,Justin Good,Founder and Chairman, ,""
GSA Labs,"=HYPERLINK(""http://www.gsalabs.net"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'244 5th Avenue S276 New York'"")",info@gsalabs.net,"=HYPERLINK(""https://www.google.com/search?q='management+team'+gsa-labs"")",Lawrence Brown,Partner, ,"", ,""
SHADOW,"=HYPERLINK(""http://WWW.DISCOVERSHADOW.COM"")",9175153647,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",hunter@discovershadow.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+shadow"")",Jason Carvalho,Co-Founder,Hunter Lee Soik,Founder | CEO,Raffael Stuken,Co-Founder
Medikly,"=HYPERLINK(""http://medikly.com"")",1-646-450-4472,"=HYPERLINK(""https://www.google.com/maps/preview/place/'483 Broadway, 2nd floor  New York'"")",info@medikly.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+medikly"")", ,"", ,"", ,""
Samplrs.com,"=HYPERLINK(""http://www.thefancy.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'Thing Daemon, Inc. West 14th Street New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+samplrs-com"")", ,"", ,"", ,""
Venwise,"=HYPERLINK(""http://venwise.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",erik@venwise.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+venwise"")",Erik Schreter,Founder & CEO,Mark Peter Davis,Co-Founder, ,""
MallWeGo,"=HYPERLINK("""")",,"=HYPERLINK(""https://www.google.com/maps/preview/place/'350 Fifth Avenue Suite 6500 New York'"")",,"=HYPERLINK(""https://www.google.com/search?q='management+team'+mallwego"")",Bryan Ortiz,Founding Member,Carolyn Sires,Founding Member,Jean Taguiam,Founding Member
HealthyOut,"=HYPERLINK("""")",,"=HYPERLINK(""https://www.google.com/maps/preview/place/'483 Broadway, 2nd Floor  New York'"")",,"=HYPERLINK(""https://www.google.com/search?q='management+team'+healthyout"")",Dan Myers,"Co-founder, COO",Jonathan Hironaga,Co-founder & Lead Developer,Wendy Nguyen,Co-founder & CEO
Agolo,"=HYPERLINK(""http://agolo.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'625 6th Ave 3rd Floor New York'"")",founders@agolo.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+agolo"")",Sage Wohns,"",Mohamed Altantawy,"", ,""
Agolo,"=HYPERLINK(""http://agolo.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'214 West 29th Street 5th Floor New York'"")",founders@agolo.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+agolo"")",Sage Wohns,"",Mohamed Altantawy,"", ,""
Busy Bee Cleaning Service,"=HYPERLINK(""http://www.bbcleaningservice.com"")",(212) 921-2364,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1123 Broadway Ste 902 New York'"")",busybee@bbcleaningservice.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+busy-bee-cleaning-service"")", ,"", ,"", ,""
Meal idea,"=HYPERLINK(""http://www.mealidea.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'78 w 82nd st  New York'"")",feedback@mealidea.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+meal-idea"")",William Falcon,Founder, ,"", ,""
CrowdFlik,"=HYPERLINK(""http://www.CrowdFlik.com"")",929-400-3545,"=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",info@CrowdFlik.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+crowdflik"")",Mike Rizzo,Co-Founder/CTO,Chris Hamer,Founder/CEO,Sarah McClutchy,VP Marketing
Majestyk Apps,"=HYPERLINK(""http://www.majestykapps.com"")",(646) 233-4511,"=HYPERLINK(""https://www.google.com/maps/preview/place/'261 W. 35th Street Suite 1004  New York'"")",info@majestykapps.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+majestyk-apps"")",Damion Hankejh,CTO,Donald Coolidge,"EVP, Business Development/COO",Sean O'Shea,"EVP, Mobile Development"
Snaps,"=HYPERLINK(""http://www.snapsapp.com"")",646 669 7149,"=HYPERLINK(""https://www.google.com/maps/preview/place/'132 East 28th Street  New York'"")",contact@snapsapp.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+snaps"")",Jonathan Carson,Chairman,Vivian Rosenthal,Founder & CEO,Amy Kadomatsu,COO
"Fluent, Inc.","=HYPERLINK(""http://www.fluentco.com"")",6466697272,"=HYPERLINK(""https://www.google.com/maps/preview/place/'295 Madison Avenue 32nd Floor New York'"")",marketing@fluentco.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+fluent-inc"")",Ryan Schulke,Co-founder & CEO,Matthew Conlin,Co-founder and President, ,""
Snoox,"=HYPERLINK(""http://www.snoox.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'41 Madison Avenue  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+snoox"")",Eyal Rivlin,CEO,Roby B.,VP Product,Guy Poreh,Founder
Black Ocean,"=HYPERLINK(""http://www.blackocean.com"")",+1.646.588.5300,"=HYPERLINK(""https://www.google.com/maps/preview/place/'240 West 30th Street  New York'"")",info@blackocean.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+black-ocean"")",Roman Gorovoy,CEO Black Ocean Russia,Timur Sardarov,Chairman & Co-Founder,PATRICK SCHNEIDER-SIKORSKY,COO RUSSIA
CommonDesk,"=HYPERLINK(""http://www.commondesk.com"")",2129262000,"=HYPERLINK(""https://www.google.com/maps/preview/place/'458 West Broadway Fl. 4 New York'"")",info@commondesk.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+commondesk"")",Mitchell Balsam,CTO and Founder,Jean Isobe,COO,Aymar Yoboue,CFO
tMedia,"=HYPERLINK(""http://www.tmedia.com"")",1.888.315.0797,"=HYPERLINK(""https://www.google.com/maps/preview/place/'350 5th Ave, 59th Floor  New York'"")",info@tmedia.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+tmedia"")",Carisa Miklusak,CEO,Summer Crenshaw,SVP, ,""
Grind,"=HYPERLINK(""http://www.grindspaces.com"")",646-558-3250,"=HYPERLINK(""https://www.google.com/maps/preview/place/'419 Park Avenue South - 2nd Floor  New York'"")",workliquid@grindspaces.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+grind-llc"")",Anthony Marinos,The Position Formerly Known as Sales and Marketing,Stuart Warshaw,Partner-in-Grind,David A. Singer,Partner-in-Grind
AlphaSights,"=HYPERLINK(""http://www.alphasights.com"")",+1 212 231 9020 ,"=HYPERLINK(""https://www.google.com/maps/preview/place/'38W 21st street  New York'"")",admin@alphasights.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+alphasights"")",Marcus Polke,Board Observer, ,"", ,""
Zady,"=HYPERLINK(""http://www.zady.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'122 West 26th Street, 5th Floor  New York'"")",hello@zady.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+zady"")",Maxine Bédat,Co-Founder,Soraya Darabi,Co-Founder,Andrew Ferenci,Investor
Innovate CV,"=HYPERLINK(""http://www.innovatecv.com/corporate"")",9179326858,"=HYPERLINK(""https://www.google.com/maps/preview/place/'16 West 36th Street 8th Floor New York'"")",georgina.narich@innovatecv.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+innovate-cv"")",Adam Lewis,CEO, ,"", ,""
Agorafy,"=HYPERLINK(""http://www.agorafy.com"")",212-401-4231,"=HYPERLINK(""https://www.google.com/maps/preview/place/'235 West 23rd Street  New York'"")",invest@agorafy.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+agorafy"")",Richard Du,Founder and CEO,Anthony Chan,Chief Engineer, ,""
Homespree,"=HYPERLINK(""http://www.myhomespree.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",founders@myhomespree.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+homespree"")", ,"", ,"", ,""
Sunshine Profits,"=HYPERLINK(""http://www.sunshineprofits.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'228 Park Avenue South  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+sunshine-profits"")","Przemyslaw Radomski, CFA",CEO, ,"", ,""
Slate Science,"=HYPERLINK(""http://www.slatescience.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'584 Broadway Suite #1206 New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+slate-science"")",Guy Vardi,CEO,Robert Whitehead,CEO, ,""
Alloy Digital,"=HYPERLINK(""http://www.alloydigital.com"")",212-244-4307,"=HYPERLINK(""https://www.google.com/maps/preview/place/'151 West 26th Street  New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+alloy-digital"")",Matthew Diamond,Co-Founder & CEO,James K. Johnson,Co-Founder & COO, ,""
Bluegrass Studios Pvt. Ltd,"=HYPERLINK(""http://www.bluegrassstudios.com"")",646-807-1840,"=HYPERLINK(""https://www.google.com/maps/preview/place/'19 W44 Street Suite 611-12 New York'"")",info@bluegrassstudios.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+bluegrass-studios-pvt-ltd"")",Bluegrass Studios,Digital Branding, ,"", ,""
PINCHme,"=HYPERLINK(""http://www.pinchme.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",hello@pinchme.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+pinchme"")",Jeremy Reid,Chairman,David Smyth,Chief Product Officer,David Shanker,CEO - USA
Zerve,"=HYPERLINK(""http://www.zerve.com"")",800-979-3370 ,"=HYPERLINK(""https://www.google.com/maps/preview/place/'333 Hudson Street 6th Floor New York'"")","","=HYPERLINK(""https://www.google.com/search?q='management+team'+zerve"")",Scott Newman,CEO,Matt Ackley,Vice President - Platform and Merchant Services,Sara Wajnberg,"Director, Product & Client Strategy"
Keepy,"=HYPERLINK(""http://keepy.me"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'  New York'"")",hi@keepy.me,"=HYPERLINK(""https://www.google.com/search?q='management+team'+keepy"")",Yaniv Solnik,CTO & Co-Founder,Offir Gutelzon,CEO & Co-Founder,Yael Sahar,Cheif of Brand UX and Design
Badge Media,"=HYPERLINK(""http://badgemedia.co"")",8557556564,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1375 Broadway 3rd Floor New York'"")",sales@badgemedia.co,"=HYPERLINK(""https://www.google.com/search?q='management+team'+badge-media"")", ,"", ,"", ,""
BadgeBuy,"=HYPERLINK(""http://badgebuy.com"")",2123908840,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1375 Broadway 3rd Floor New York'"")",sales@badgemedia.co,"=HYPERLINK(""https://www.google.com/search?q='management+team'+badgebuy"")", ,"", ,"", ,""
Web Guide Partner,"=HYPERLINK(""http://www.webguidepartner.com"")",+46 8 5000 24 00,"=HYPERLINK(""https://www.google.com/maps/preview/place/'1441 Broadway Suite 5003 New York'"")",info@webguidepartner.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+web-guide-partner"")",Björn Alberts,Head of SEO & Social Media,Björn Alberts,Business Unit Manager, ,""
National Debt Relief,"=HYPERLINK(""http://www.nationaldebtrelief.com"")",888-703-4948,"=HYPERLINK(""https://www.google.com/maps/preview/place/'11 Broadway #1300  New York'"")",marketing@nationaldebtrelief.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+national-debt-relief"")", ,"", ,"", ,""
engageSimply,"=HYPERLINK(""http://engagesimply.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'250 W. 57th Street Suite 1326 New York'"")",info@engagesimply.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+engagesimply"")",judy shapiro,CEO/ founder,Judy Shapiro,CEO,Hide Harashima,CTO
AdhereTech,"=HYPERLINK(""http://www.adheretech.com"")","","=HYPERLINK(""https://www.google.com/maps/preview/place/'483 Broadway 2nd Floor New York'"")",j.stein@adheretech.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+adheretech"")",Josh Stein,Co-Founder and CEO,John Langhauser,CTO,Mike Morena,COO
ASI System Integration,"=HYPERLINK(""http://www.asisystem.com"")",212-736-0111,"=HYPERLINK(""https://www.google.com/maps/preview/place/'48 West 37th Street  New York'"")",info@asisystem.com,"=HYPERLINK(""https://www.google.com/search?q='management+team'+asi-system-integration"")",Sonny Chabra,Chairman & CEO,Narinder Chabra,COO,Chris Mammano,President
